Asahi Super Dry,5,Japan
Blanc1664,5,France
Breda Royal Beer / Lager,5,Netherlands
Budweiser,5,US
Carlsberg,5,Denmark
Cass,4.5,Korea
Classe Royale Premium Hefeweissbier,5,Germany
Coors Light,4.2,US
Corona Extra,4.5,Mexico
Corona Light,3.9,Mexico
Desperados Original,5.9,France
Faxe Premium,5,Denmark
Faxe Stout,7.7,Denmark
Goose IPA,5.9,UK
Guinness Draught,4.2,Ireland
Harbin Lager,5.5,China
Harboe Bear Beer Premium Lager,5,Germany
Heineken,5,Netherlands 
Hite,4.5,Korea
Hoegaarden,4.9,Belgian
Jeju Wit Ale,5.3,Korea
Kaiserdom Kellerbier,4.7,Germany
Kirin Ichibang,5,Japan
Kozel dark,3.8,Czech Republic
Leffe Blonde,6.6,Belgian
Leffe Brune,6.5,Belgian
MangoRingo,2.5,korea
Max,4.5,Korea
Miller lite,4.2,US
Paulaner Hefe-Weizen,5.5,Germany
Peroni Original,4.7,Italy
Peroni Red,4.7,Italy
Pilsner Urquell,4.4,Czech Republic
Royal dutch ,5,Netherlands
Royal Dutch Post Horn Hefeweizen,5.1,Netherlands
San Miguel Dark Lager,5,
San Miguel Pale Pilsen,5,Philippines
Sapporo Premium Beer,4.9,Japan
Schofferhofer Grapefruit,2.5,Germany
Stella Artois,5,Belgian
Suntory The Premium Malts,5.5,Japan
Tiger,5,Singapore
Tsingtao,4.8,China
Wabar Dunkel,4.9,Korea
Weidmann Weissbier Hefeweiss,5.3,Germany
